Название	Цена	Система размораживания холодильной камеры	Количество камер	Количество дверей	Инверторный компрессор	Размеры (Ширина)	Размеры (Высота)	Размеры (Глубина)	Тип_Винный шкаф	Тип_Холодильная витрина	Тип_Холодильник	Расположение морозильной камеры_отсутствует	Расположение морозильной камеры_сбоку	Расположение морозильной камеры_сверху	Расположение морозильной камеры_слева	Расположение морозильной камеры_снизу	Класс энергопотребления_A	Класс энергопотребления_A+	Класс энергопотребления_A++	Класс энергопотребления_B	Класс энергопотребления_C	Класс энергопотребления_E	Класс энергопотребления_F	Класс энергопотребления_G
Холодильник двухкамерный LG GC-B509SLCL инверторный графит	0.12384698142824388	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.9140625	0.7215996225079627	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный LEX LCD450GBGID Side by Side, инверторный сапфир	0.15132365650187835	No Frost	0.6666666666666666	0.6	1.0	0.7755644090305444	0.8098958333333334	0.6673351421493453	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный LG GC-B459SQCL белый	0.09471066509109508	No Frost	0.3333333333333333	0.2	0.0	0.4555112881806109	0.8255208333333334	0.7215996225079627	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 121 B черный	0.05070636166422688	капельное	0.3333333333333333	0.2	0.0	0.42231075697211157	0.6380208333333334	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit ITR 5180 W Total No Frost, белый	0.06523924584207834	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8203125	0.6720537926153121	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный LEX LCD505BlID Side by Side, инверторный черный	0.1555565353886312	No Frost	0.6666666666666666	0.6	1.0	0.8751660026560424	0.8098958333333334	0.6673351421493453	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit DS 4180 W белый	0.05289334908904919	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8203125	0.6720537926153121	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRT 144 232 черный	0.053969205806098874	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.7796875	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit ES 15 A белый	0.0458385509444611	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.6380208333333334	0.6425622272030199	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант ХМ-4619-181 серебристый	0.06892537787262562	капельное	0.3333333333333333	0.2	0.0	0.4555112881806109	0.7776041666666668	0.6590775038339035	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный Бирюса Б-95 белый	0.025115081394733594	ручное	0.0	0.0	0.0	0.29216467463479423	0.3046875	0.4479178954818922	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4624-141 нержавеющая сталь	0.06560962274466922	капельное	0.3333333333333333	0.2	0.0	0.4555112881806109	0.8817708333333334	0.6590775038339035	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный Атлант X-1602-100 белый	0.0570909539850791	капельное	0.0	0.0	0.0	0.4555112881806109	0.8296875	0.6590775038339035	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный MAUNFELD MFF50SL DeFrost, серебристый	0.029877070142330552	ручное	0.0	0.0	0.0	0.28950863213811423	0.11510416666666667	0.44437890763241716	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit ITR 4200 W Total No Frost, белый	0.06435739607400483	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8723958333333334	0.6720537926153121	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 162NF E бежевый	0.06747914425298507	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.8380208333333333	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Midea MDRB521MIE28OD Full No Frost, инверторный черный	0.10580433517345984	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.9078125	0.6956470449451457	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Бирюса Б-118 белый	0.04294608370517999	капельное	0.3333333333333333	0.2	0.0	0.30278884462151395	0.6119791666666666	0.6307656010381031	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный NORDFROST RFQ 510 NFGB Total No Frost, Side by Side, инверторный черный	0.1731071094728302	No Frost	0.6666666666666666	0.6	1.0	0.7675962815405046	0.8119791666666667	0.698006370178129	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант MXM-2835-90 белый	0.04661457874036579	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.7057291666666666	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 162NF X нержавеющая сталь	0.07005414557575972	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.8380208333333333	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit ITR 4160 W Total No Frost, белый	0.05818444769749025	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.7265625	0.6720537926153121	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный LEX LCD505GbGID Side by Side, инверторный сапфир	0.19398931198081096	No Frost	0.6666666666666666	0.6	1.0	0.8751660026560424	0.8098958333333334	0.6673351421493453	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный LG GC-B509SECL инверторный бежевый	0.12830914125469586	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.9140625	0.7215996225079627	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный LEX LSB530BLID WIND Side by Side, инверторный черный/рисунок	0.17635231661934073	No Frost	0.3333333333333333	0.2	1.0	0.8738379814077025	0.8130208333333333	0.6248672879556447	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4208-000 белый	0.0	капельное	0.3333333333333333	0.2	0.0	0.38911022576361226	0.5989583333333334	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4625-181 серебристый	0.07538051817492372	ручное	0.3333333333333333	0.2	0.0	0.4555112881806109	0.9338541666666668	0.6590775038339035	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4012-022 белый	0.04899557311416427	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.7734375	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 152 Me капельное, бежевый мрамор	0.06019506516869786	автоматическое	0.3333333333333333	0.2	0.0	0.42231075697211157	0.8359375	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko RCSK270M20S серебристый	0.054657048625196214	ручное	0.3333333333333333	0.2	0.0	0.3824701195219124	0.7473958333333334	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант ХМ-4623-101 белый	0.06310516940334045	капельное	0.3333333333333333	0.2	0.0	0.4555112881806109	0.8817708333333334	0.6590775038339035	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko RCSK270M20W белый	0.05289334908904919	капельное	0.3333333333333333	0.2	0.0	0.3824701195219124	0.7473958333333334	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный LEX LSB530DGID Total NoFrost, Side by Side, инверторный темно-серый	0.0	No Frost	0.3333333333333333	0.2	1.0	0.8738379814077025	0.8130208333333333	0.6248672879556447	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный Бирюса Б-108 белый	0.0297888851655232	ручное	0.0	0.0	0.0	0.30278884462151395	0.3072916666666667	0.6307656010381031	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 154 E бежевый	0.06763787721123829	капельное	0.3333333333333333	0.2	0.0	0.42231075697211157	0.9140625	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-6025-031 белый	0.06883719289581827	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.9244791666666666	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Винный шкаф однокамерный KitFort КТ-2410 вместимость: 28 бутылок, серебристый	0.05818444769749025	ручное	0.0	0.0	0.0	0.23638778220451528	0.2348958333333333	0.5186976524713932	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko RCNK335E20VW Total No Frost, белый	0.06876664491437239	No Frost	0.3333333333333333	0.2	0.0	0.3824701195219124	0.9036458333333334	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 152 W белый	0.0560856452494753	капельное	0.3333333333333333	0.2	0.0	0.42231075697211157	0.8359375	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit DS 4160 W белый	0.050247799784828656	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.7265625	0.6720537926153121	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный LEX LCD450BMID Side by Side, инверторный синий металлик/черный	0.15871532125787052	No Frost	0.6666666666666666	0.6	1.0	0.7755644090305444	0.8098958333333334	0.6673351421493453	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko CNMV5335E20VXR Total No Frost, стальной антрацит	0.07670329282703399	No Frost	0.3333333333333333	0.2	0.0	0.3824701195219124	0.9036458333333334	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 164NF W Frost Free, белый	0.0690488368401559	No Frost	0.3333333333333333	0.2	0.0	0.4276228419654715	0.9161458333333333	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант 4424-049-ND Full No Frost, нержавеющая сталь	0.07993086297818304	No Frost	0.3333333333333333	0.2	0.0	0.4555112881806109	0.8817708333333334	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST RFS 484D NFXd Side by Side, инверторный черный	0.1700382722799344	No Frost	0.3333333333333333	0.2	1.0	0.7755644090305444	0.7838541666666666	0.6673351421493453	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Hyundai CS4086F Side by Side, нержавеющая сталь	0.11903208169456252	ручное	0.3333333333333333	0.2	0.0	0.701195219123506	0.7604166666666666	0.6578978412174118	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный WEISSGAUFF WRK 1850 D Full NoFrost White Glass Full No Frost, белый	0.1040582726326743	No Frost	0.3333333333333333	0.2	0.0	0.4555112881806109	0.8229166666666666	0.6661554795328536	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-6023-031 белый	0.062364415598158696	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8723958333333334	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4609-101 белый	0.059225030423817	капельное	0.3333333333333333	0.2	0.0	0.4555112881806109	0.6734375	0.6590775038339035	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4025-000 белый	0.061341469867193424	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.9244791666666666	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный LEX LSB530GLID WIND Side by Side, инверторный золотистый	0.17635231661934073	No Frost	0.3333333333333333	0.2	1.0	0.8738379814077025	0.8130208333333333	0.6248672879556447	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-6024-031 белый	0.06252314855641193	ручное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8723958333333334	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный LEX LCD505WOrID Side by Side, инверторный белый/оранжевый	0.16560962274466923	No Frost	0.6666666666666666	0.6	1.0	0.8751660026560424	0.8098958333333334	0.6673351421493453	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант ХМ-4621-101 NL Full No Frost, белый	0.08014250692252067	No Frost	0.3333333333333333	0.2	0.0	0.4555112881806109	0.8296875	0.6956470449451457	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko B5RCNK403ZW Total No Frost, инверторный белый	0.0943402881885042	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.9036458333333334	0.6838504187802289	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный LEX LCD450SSGID Side by Side, инверторный серый	0.15255824617718125	No Frost	0.6666666666666666	0.6	1.0	0.7755644090305444	0.8098958333333334	0.6673351421493453	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko CNMV5270KC0S Total No Frost, серебристый	0.06523924584207834	No Frost	0.3333333333333333	0.2	0.0	0.3824701195219124	0.7473958333333334	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4426-000-N No Frost, белый	0.0	No Frost	0.3333333333333333	0.2	0.0	0.4555112881806109	0.9322916666666666	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный Атлант MX-2822-80 белый	0.0426991657701194	капельное	0.0	0.0	0.0	0.46215139442231074	0.5390625	0.6425622272030199	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Винный шкаф однокамерный KitFort КТ-2403 вместимость: 8 бутылок, черный	0.029965255119137904	ручное	0.0	0.0	0.0	0.2098273572377158	0.0	0.5245959655538516	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko RCNK270K20W белый	0.06347554630593132	No Frost	0.3333333333333333	0.2	0.0	0.3824701195219124	0.7473958333333334	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4626-101 белый	0.07366972962486111	капельное	0.3333333333333333	0.2	0.0	0.4555112881806109	0.9338541666666668	0.6590775038339035	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Gorenje NRK6202EXL4 серебристый	0.09169473888428367	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8984375	0.6154299870237113	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko B1DRCNK362HX No Frost, нержавеющая сталь	0.14407661510785022	No Frost	0.3333333333333333	0.2	0.0	0.4555112881806109	0.8255208333333334	0.6838504187802289	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko CSKDN6250MA0W белый	0.050247799784828656	капельное	0.3333333333333333	0.2	0.0	0.3824701195219124	0.6796875	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRT 141 232 черный	0.04806081236000635	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.6369791666666668	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko RCNK310KC0W Total No Frost, белый	0.06347554630593132	No Frost	0.3333333333333333	0.2	0.0	0.3824701195219124	0.8151041666666666	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант Х-К ХМ-4624-101-NL Full No Frost, белый	0.0	No Frost	0.3333333333333333	0.2	0.0	0.4555112881806109	0.8817708333333334	0.6956470449451457	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный Hyundai CM5084FIX Side by Side, нержавеющая сталь	0.14460572496869434	No Frost	0.6666666666666666	0.6	0.0	0.7675962815405046	0.8119791666666667	0.7098029963430459	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный NORDFROST NR 506 W белый	0.021376038378101907	капельное	0.0	0.0	0.0	0.32934926958831345	0.13020833333333334	0.4833077739766427	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4008-022 белый	0.046261838833136386	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.5963541666666666	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit ITS 5180 NG темно-серый	0.06700294537822536	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8203125	0.6484605402854784	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Gorenje NRK6202EBXL4 черный	0.0934584384204307	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8984375	0.6154299870237113	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4625-101 белый	0.0689959258540715	капельное	0.3333333333333333	0.2	0.0	0.4555112881806109	0.9338541666666668	0.6590775038339035	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit ES 16 A белый	0.050247799784828656	ручное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.7265625	0.6425622272030199	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit ITS 4200 G серебристый	0.06876664491437239	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8776041666666666	0.6484605402854784	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный HOTPOINT HT 7201I W O3 Total No Frost, инверторный белый	0.0934584384204307	No Frost	0.3333333333333333	0.2	1.0	0.46215139442231074	0.8776041666666666	0.6484605402854784	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный LG GC-B459SECL инверторный бежевый	0.0967741935483871	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.8255208333333334	0.7215996225079627	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
